,Equal_Weighted,Historical_RP,Method_A_ARMA,Method_A_XGBoost,Method_B_XGBoost,Method_C_XGBoost
2020-07-20,1.1653830882860796,1.2054722082789893,1.0,1.156603909520968,1.1391758027299779,0.9168649732896458
2020-07-21,1.1752420880851424,1.2115214922615116,1.0,1.1604075932361748,1.1428236248992658,0.9190551481419855
2020-07-22,1.1773258803442777,1.212974306748693,1.0,1.161387552273424,1.1437907172081718,0.9204647154529085
2020-07-23,1.165958727008505,1.2022129544607287,1.0,1.1543619068638895,1.136934830524074,0.9126224860988049
2020-07-24,1.1399364527541043,1.1837891709994968,1.0,1.1415485423827625,1.1251928626309642,0.9035098951679562
2020-07-27,1.1409013390744631,1.1876555944217175,1.0,1.1440469285495753,1.1272472487893417,0.9024687755157671
2020-07-28,1.140153084017073,1.1892146262191063,1.0,1.1450648131370227,1.128246273653149,0.9013476995039809
2020-07-29,1.1367921241968988,1.1858744146896625,1.0,1.1430704687498179,1.1259229645399598,0.898668548516222
2020-07-30,1.1244902499547575,1.175876796094097,1.0,1.1364059576497203,1.1194223362889206,0.8919338194014224
2020-07-31,1.1206850117753733,1.1753616837156415,1.0,1.1361844342341623,1.1190773714342028,0.8917027314788444
2020-08-03,1.1358238099808995,1.1894057254498314,1.0,1.145708286458247,1.1284312521450395,0.9032197424768766
2020-08-04,1.1405131827024395,1.1924532578460403,1.0,1.1485003095424895,1.1315042593911375,0.9033509805451853
2020-08-05,1.151577647984075,1.1992747524760476,1.0,1.1529147603785803,1.1362338006585362,0.9136176895603804
2020-08-06,1.15279084010574,1.2005534348239986,1.0,1.1538814948133918,1.137022902968558,0.9147792753249593
2020-08-07,1.1495220494141793,1.199814058695752,1.0,1.1531766596417845,1.1363935871322923,0.9107674700408412
2020-08-10,1.165982274573617,1.2128312704631115,1.0,1.1617660194455082,1.1453558918317517,0.9208032992548697
2020-08-11,1.1549327304283497,1.2008380961645448,1.0,1.153722176297686,1.1374184080135858,0.9162499982175357
2020-08-12,1.1661835435029733,1.2143237114691368,1.0,1.162525389209704,1.146000091414804,0.9175710506393957
2020-08-13,1.1666017355682188,1.216058141987248,1.0,1.1636199680824613,1.1470937494959172,0.9188464209068256
2020-08-14,1.1715040699547812,1.2201126477793036,1.0,1.1663172761811915,1.1496940566017,0.9217325909506635
2020-08-17,1.174024493870461,1.226483549974148,1.0,1.1702327418905434,1.1529817462554315,0.9185440761619351
2020-08-18,1.1730342265628886,1.2272130838087316,1.0,1.171055208109687,1.154134666157373,0.9205827116362674
2020-08-19,1.169459971242327,1.2238205227638648,1.0,1.1690727649901462,1.1525155027948861,0.9199377148320607
2020-08-20,1.1681578310950336,1.222175570776171,1.0,1.16802869590109,1.1518250543507011,0.9202780158422503
2020-08-21,1.1688084520869415,1.223743862258248,1.0,1.168820205236818,1.1527098540757499,0.9200280403127131
2020-08-24,1.1798224117932323,1.2314147839888974,1.0,1.1743089670036555,1.1586363114011473,0.9276362887543969
2020-08-25,1.1874608955511174,1.2411305234287668,1.0,1.1809109260910853,1.1649454816987088,0.9316510201562851
2020-08-26,1.2110241677678077,1.2661595142167916,1.0,1.1978781307716355,1.181035841231904,0.9597118453082858
2020-08-27,1.2215536152926403,1.2777106477751268,1.0,1.2055752978445757,1.1881207414907864,0.9654991351912804
2020-08-28,1.2296000728514092,1.2859517820369122,1.0,1.210283961833911,1.1930245990171433,0.9672961204374695
2020-08-31,1.2234220681773047,1.2816785413110574,1.0,1.2070728750413127,1.189651314827471,0.9652457506796779
2020-09-01,1.2339197617834803,1.294009258815282,1.0,1.2153689177375275,1.1974133184316391,0.9757092432514431
2020-09-02,1.2524676472220502,1.3151959294325566,1.0,1.2288368687235998,1.2112933884044836,0.9811217049801791
2020-09-03,1.2212053884676246,1.2841732322379436,1.0,1.2082349205514802,1.190943593672755,0.9607245793302444
2020-09-04,1.2127594534279,1.2748116158181162,1.0,1.1979369604085344,1.1830337333085934,0.951908065632983
2020-09-08,1.1789112786902411,1.242676006282195,1.0,1.1725589192994121,1.1606554402013651,0.9298536804857138
2020-09-09,1.1961062405670813,1.2609288755879193,1.0,1.1876880434657449,1.1735096730443728,0.9418106164405602
2020-09-10,1.1771145560480996,1.241872995034607,1.0,1.1756768421656274,1.1610695328686687,0.9318899103534224
2020-09-11,1.1822757299213131,1.2471884960818826,1.0,1.1776328988954392,1.164358676306756,0.932977603978225
2020-09-14,1.1951234689293753,1.2594371746075181,1.0,1.1862030924747096,1.1724152633382368,0.9400034283927183
2020-09-15,1.1970468753196837,1.2635000316472957,1.0,1.1901612725724617,1.1756642708502771,0.9433690038719564
2020-09-16,1.2029564694865793,1.2664089257221636,1.0,1.1910067384155771,1.1767782046357051,0.9440692632162956
2020-09-17,1.1984700248303923,1.2617485996658249,1.0,1.185485067793338,1.1737774172672986,0.9391960673136397
2020-09-18,1.188813459787616,1.253447504968519,1.0,1.1792289216097793,1.167810053203321,0.9337075578968063
2020-09-21,1.172305505703924,1.2398833432629814,1.0,1.17397112120712,1.160555093476604,0.9297341285115955
2020-09-22,1.1781691092641846,1.2478526331046091,1.0,1.179984958005545,1.1664393705712175,0.9345074650963379
2020-09-23,1.1621506172782043,1.2303214521239585,1.0,1.1640136114959678,1.1544443682785885,0.9223264113009738
2020-09-24,1.158289873219461,1.2295055685286629,1.0,1.1637776411885965,1.1534165904205695,0.9211329951198197
2020-09-25,1.1759083566592423,1.2447015557799392,1.0,1.1746859904475253,1.1627907038124692,0.9292609111110471
2020-09-28,1.1935715147692598,1.2583375836444213,1.0,1.1839123785505918,1.1713264151687404,0.9366512504858774
2020-09-29,1.1895939022664532,1.2564452347913304,1.0,1.182150318566555,1.1694691962631578,0.9368998120054698
2020-09-30,1.203518215261905,1.2727140566692805,1.0,1.192858727927079,1.179972250003438,0.9442200479590696
2020-10-01,1.207638114670824,1.279452624132984,1.0,1.1968791439899749,1.1832218344694923,0.9491751908459694
2020-10-02,1.1944251557088752,1.260845860871376,1.0,1.186230644929576,1.1731751342860335,0.9411995003618299
2020-10-05,1.213645443794294,1.280053164743327,1.0,1.1988857428704607,1.1855941987929863,0.9500106858781066
2020-10-06,1.1958955521857475,1.2655555710996838,1.0,1.1892928536313667,1.175920846640157,0.9436572407822638
2020-10-07,1.2186413934025635,1.28848442451199,1.0,1.2031397839697753,1.1883219408352241,0.9566374833009471
2020-10-08,1.2174785704880986,1.2846016929962494,1.0,1.2015655174310576,1.1869685560201524,0.9563398926971995
2020-10-09,1.2192167329976102,1.2904104529854417,1.0,1.2038861269989742,1.1892269911373563,0.9611769862234274
2020-10-12,1.2254952622589155,1.2974443656108106,1.0,1.207399717764964,1.1927275358692844,0.9626085759456088
2020-10-13,1.2215715550012367,1.2975383213184672,1.0,1.2068344204561323,1.1925721841757988,0.9616754075143029
2020-10-14,1.2086284303956236,1.2813996984805904,1.0,1.1968732137107427,1.1827311746894595,0.9528424277686934
2020-10-15,1.2077208918964148,1.2782431603874558,1.0,1.1951945756485078,1.1814717174951506,0.9521117439108022
2020-10-16,1.212528942999238,1.2822213921150747,1.0,1.1975844177453998,1.183993696674218,0.9529065062252963
2020-10-19,1.1988244310377398,1.2665529537142375,1.0,1.1863252629113328,1.173734819950984,0.9457003725045169
2020-10-20,1.198460117859644,1.2675108205479253,1.0,1.1865814154608947,1.1736797448506535,0.9472710885945004
2020-10-21,1.192582202410989,1.2627918922837862,1.0,1.1811494472850996,1.1693051372006498,0.9452501875668238
2020-10-22,1.2025724662760706,1.269198867439493,1.0,1.1870447212449633,1.1773883342596059,0.946110844057659
2020-10-23,1.190776303463268,1.2641413777914108,1.0,1.1814512845180154,1.1715270712424237,0.9422310035259392
2020-10-26,1.166850047690312,1.2427458830941867,1.0,1.1677145148390813,1.158084264244179,0.9287274868528971
2020-10-27,1.1579919809264663,1.2370072266619812,1.0,1.1637452727318345,1.1531038103329232,0.930013097345962
2020-10-28,1.1178680151292386,1.1968772104007788,1.0,1.1381085949092469,1.1277284778645542,0.9059302976055719
2020-10-29,1.1204264662907517,1.1992749784737742,1.0,1.1402887568589375,1.1291812472085934,0.9066626066904984
2020-10-30,1.1127038423191593,1.1913946989464348,1.0,1.1357898170000162,1.1245576890790763,0.8989336906031158
2020-11-02,1.1317879621475504,1.2108134850491932,1.0,1.148726989981533,1.137371306289059,0.9079596608399851
